Chemical,Sentence
3-acetyloxy-4-(trimethylazaniumyl)butanoate,3-acetyloxy-4-(trimethylazaniumyl)butanoate is a chemical compound. It is a synthetic organic compound with a molecular formula of C15H17NO4
(2-acetyloxy-3-carboxypropyl)-trimethylazanium,A compound with the chemical formula (2-acetyloxy-3-carboxypropyl)-trimethylazanium is a synthetic organic compound used as a building block in the synthesis of other organ
"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid","The chemical compound 5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid is a phenolic compound that contains six hydroxyl groups connected to a cy"
1-aminopropan-2-ol,"Aminophenol is a strong oxidizing agent, used in the synthesis of a variety of organic compounds."
(3-amino-2-oxopropyl) dihydrogen phosphate,"The compound, also called TPAP, is a powerful antioxidant that may prevent oxidative stress."
"1-chloro-2,4-dinitrobenzene","1-chloro-2,4-dinitrobenzene is a colorless, crystalline solute with a strong, unpleasant odor."
9-ethylpurin-6-amine,9-ethylpurin-6-amine is a synthetic drug used primarily in the treatment of pain and inflammation.
"2,3-dihydroxy-3-methylpentanoic acid","The chemical compound 2,3-dihydroxy-3-methylpentanoic acid is a saturated fatty acid found in seeds and plants. Its chemical formula is C12H24O5"
"(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate","The chemical compound (2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate is a redox compound that exhibits a redox potential of 2."
"2-[[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1H-pteridin-6-yl)methyl-formylamino]benzoyl]amino]pentanedioic acid","In addition to its antioxidant and anti-inflammatory properties, the chemical compound is also effective against cancer."
"1,2-dichloroethane","1,2-dichloroethane is a chlorinated hydrocarbon that is a colorless liquid that is produced by the reaction between chlorine and ethane. It is a flammable gas that is used"
"benzene-1,2,3,5-tetrol",This colorless liquid has a
"1,2,4-trichlorobenzene","The compound 1,2,4-trichlorobenzene is a colorless, volatile, and flammable liquid with a pungent odor."
7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid,The 7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid (7-OCT-3H) is a
"17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one","A chemical compound with the formula 17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,"
"1,8-diazacyclotetradecane-2,9-dione","The chemical compound, 1,8-diazacyclotetradecane-2,9-dione, is a compound of two cyclic tetraarenes, two cyclic diazocarbene groups,"
"2,3-dihydropyridine-2,6-dicarboxylic acid","2,3-dihydropyridine-2,6-dicarboxylic acid is a chemical compound with the formula C5H9NO5. It is an organic compound that is a derivative of the"
"4,5,6-trihydroxy-2,3-dioxohexanoic acid","The trihydroxy acid is widely used in the pharmaceutical industry for its antibacterial, antifungal, and antiviral properties."
"2,3-dihydroxybenzoic acid","The chemical compound, 2,3-dihydroxybenzoic acid, is a natural diuretic, which means it helps the body to remove excess water from the body. This property makes it useful for treating conditions"
"3-(2,3-dihydroxyphenyl)propanoic acid","The chemical compound, 3-(2,3-dihydroxyphenyl)propanoic acid, is a type of organic compound that can be found in plants, animals, and the environment. It is synthesized"
2-ethyl-2-hydroxy-3-oxobutanoic acid,"A new study published in the journal ChemSusChem on Wednesday, found that the compound, known as 2-ethyl-2-hydroxy-3-oxobutanoic acid (EHBOA"
2-hydroxy-2-methyl-3-oxobutanoic acid,2-hydroxy-2-methyl-3-oxobutanoic acid (2HMBA) is a chemical compound that has a positive charge on the 2-hydroxy group and a negative charge
2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid,"The chemical compound, 2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid (2-ALB), is a fatty acid synthase inhibitor."
"2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one","A water-soluble colorless solid, 2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a"
"2-amino-7,8-dihydroxy-6-(1,2,3-trihydroxypropyl)-1,5,6,7-tetrahydropteridin-4-one","2-amino-7,8-dihydroxy-6-(1,2,3-trihydroxypropyl)-1,5,6,7-tetrahydropteridin-4-"
"1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione","The chemical compound 1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)prop"
"[[3-(2-amino-7,8-dihydroxy-4-oxo-1,7-dihydropteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate","The chemical compound, [[3-(2-amino-7,8-dihydroxy-4-oxo-1,7-dihydropteridin-6-yl)-2,3-dihydro"
"2-aminohexa-2,4-dienedioic acid",The amino
2-amino-3-oxopropanoic acid,A chemical compound known as 2-amino-3-oxopropanoic acid is a key player in the development of new medicines.
"2-amino-6-oxohexa-2,4-dienoic acid","Amino-6-oxohexa-2,4-dienoic acid is an organic compound with the chemical formula. It is a natural product derived from the metabolism of the organism."
"(2,3,4-trihydroxy-3-methylbutyl) dihydrogen phosphate","A salt of the acid anhydride of the sulfonic acid, which is a strong base"
"buta-1,3-diene-1,1,4-tricarboxylic acid","The buta-1,3-diene-1,1,4-tricarboxylic acid (BD-TCA) is a chemical compound that has a wide range of applications in various industries such as medicine,"
2-chloroacetaldehyde,"A molecule of 2-chloroacetaldehyde can undergo a rearrangement, forming acetaldehyde and a chlorine atom."
2-chloroethanol,"Two-chloroethanol, a powerful and flammable organic chemical, was used as a solvent in the 19th century. Its use in the 20th century was replaced by other solvents."
2-(2-chloro-5-oxofuran-2-yl)acetic acid,"2-(2-chloro-5-oxofuran-2-yl)acetic acid is a dihydropyran compound, which is a stable molecule that contains two chlorine atoms and a py"
2-hydroxy-3-propan-2-ylbutanedioic acid,"2-hydroxy-3-propan-2-ylbutanedioic acid is a dicarboxylic acid that has a molecular formula of C6H10O4. It is a colorless,"
"4,5,6-trihydroxy-2-oxohexanoic acid",A substance that is naturally found in the leaves of the plant Artemisia annua and is used in the production of Artemisinin.
"4-hydroxy-3,3-dimethyl-2-oxobutanoic acid","In 1993, the European Commission selected three organic synthesis research projects to receive funding. One of these projects is the COSY project, which involves eight researchers from three European countries. The project began in 1"
"4,4-dimethyloxolane-2,3-dione","The chemical compound 4,4-dimethyloxolane-2,3-dione has been identified as a potential anti-cancer agent in a study published in the journal Carcinogenesis."
